"rating","day","blog","text"
"Conservative",90,"ha","accomplish alli anymor armi assault avoid basra basra basra basra best best blogospher call certain clear come declar doesn done either elect even everi excel exit fact failur fan field forc forc form free goal good gun guy hand hasn haven hear heavi imposs instead intimid iran iran iraqi iraqi isn israel jump know know leav left less let like loss love make make maliki maliki maliki mayb mayb mean militia mission mistak much never offer offici own piec polic poll popular possibl practic promis pull reach read realli realli regular repeat rightw rout run sadr sadr sadr sadr say see seen shake shake shi side sinc sought stabil start start stay succeed success support sure surg surviv tell tell term time true usual victori victori view vote want way way weapon will wonder wonder work write yet"
"Conservative",76,"at","age appar appeal articl barack becam betray bit bit common common connect contend credit discuss era even even even even face factor featur feel food frank hillari imagin iron issu jewish joke least least liber like like like look look make man manner mccain men mother movi need new noth obama obama obama obama obama obama photo photo poor power power present promin radio ration recent reduc seem seem share show simpli start stock strike stuff suggest take thin thin thing think tough urg vote women women women worth young young"
"Liberal",71,"tpm","accus agre agre agre agre american amount argu ask ask attack attack attack attack back barack battl better calcul calcul camp camp camp camp camp campaign campaign campaign campaign campaign campaign campaign campaign campaign card card case case character claim clear clear clinton clinton clinton clinton come comment comment comment comment comment comment confront continu contrast critic curious debat deliber democrat divid effort face fals fals flip focus focus forgotten forgotten forward four full futur get get given heat highlight hillari hillari inde instead issu issu januari jump just keep know late late late latest leadership made make make manag memo messag might need new now obama obama obama obama obama obama obama obama obama one one origin page parti pattern peopl peopl person person person play play pledg pledg point polit polit polit power primari primari probabl prompt push race race race race rapid recent recent refus regret reject reject reject remark repudi resign respons respons respons right said said say say say say seem seem seem senat senat senat senat senat sent serious serv set side spoke staff staff staff stand start statement statement statement statement stori stori strong suggest suggest support support support support sure sure surpris take thing thing think tim today today today tone twist updat updat video wake want way well whether white will william william william william william yesterday"
"Conservative",96,"mm","actual agent alleg also altern alway america american announc announc anoth arrest articl ask aspect assembl auto becom behind better bias border border buy call call can can can case catch certain charg choic claim claim claim class cnn cnn cnn cnn cnn color color cooper coupl cours crime cross cut deliber demand demand design detail differ disput distort don don don dozen drug due effect either enforc enough especi especi even exampl expens fellow fire flaw four four four fuel full fulli get get get given good good good got guest gun gun gun gun gun gun guy high high howev hundr idea identifi ignor illeg includ indic iraq just just keep kill kill know licens like lot lot machin made market may measur meet mess mexico mexico mexico mexico militari minut msm much much name nation necessarili need network new note note now offic old one one order personnel place plenti point polic possibl post power precis probabl problem problem public purchas quot rare readi reason recent regul regular report report requir respect say say say see seedubya show show sinc someth sort sourc south south state state still stock stock system system take take talk think togeth track tri tri troop type ultim unit unit use use use usual version video video video view violenc walk walk want war war wasn weapon weapon weapon week will work work work worst wouldn year"
"Conservative",220,"at","admiss afternoon agre agre agre along along also among associ back ballot begin car car car choic clinton club coalit consensus consensus convent crack crack dare defin dem denver dinner dinner discuss dissent doubt drive economi effect embarrass enough enthusiasm even everyon execut expect experi extrem face failur fall famili famili famili famili famili feel financi first first flaw follow form found gaff get goal group head heart high hillari histori hot hour idea idea includ initi judgment judgment just knew late leadership leftw littl lose loser make mayb media member member might miss need new nobodi obama obama obama obama occur one one one other other parti particular place possibl presid pressur primari public reason regist revers ride risk say say speak spoken spoken still stupid suggest summer support sure texa texa thing think thinker though thought threat time toward truth two type valu voic vote voter want want weak will will win wish without yet zero"
"Conservative",105,"ha","accus anyon apolog appli audienc back becom benefit best betray bin bitter can catch check check chose close compar compar davi davi davi differ doubt earlier econom editor express fact fire frustrat give guy handl hard heart innoc issu just laden like like make mccain media media obama obama obama obama obama opposit outsid perhap person pin plus presum qaeda racism racist republican say segment simpli slip southern split style subject tank though today two way whether will will will will worth wrong young"
"Liberal",160,"tp","advis advis analysi appear approv aren argu ask attempt attempt away barack bush bush bush bush bush bush bush can claim claim comparison conserv conserv continu dedic demonstr devast doubt economi even even even ever ever everyth fact fight get gordon heard heard interview jame key like mani mccain mccain mccain mccain mccain mccain mccain money new new obama obama obama pass point point polici polici presid presid pretti pundit react recent republican robert robert room run said said said say someth spend stick stick strategi strategi stupid succeed take talk talk term test thing thing tradit true watch weekend went whatev won won yes"
"Conservative",200,"at","abl achiev achiev aid among appar appear appear articl ask back barack began began campaign can candid charl children column column conclud daili declar earn economist ever excel expos extraordinari favorit first former full gate generat given good great halt help histori illinoi import institut just kennedi king king larger laski law law legisl legisl london look made may moment moment month name near nomin nomin notabl note now now obama obama obama obama obama obama obama obama obama obama obama oper order piec planet point point power practic precis present presid presid produc professor qualifi question question question reagan reason record review rise said senat senat sick signal singl singl singl slow speech spot stand state subject subject suggest take tell think think time tip today turn ultim upon upon victori vote want water will win without wonder work work written"
"Liberal",141,"db","abl activist actual advis advis aid aid almost alon american american appear appear assault associ associ bad base begin big big biggest black black brave break bring busi campaign campaign campaign campaign campaign campaign can care care case chang chang chang charli chris come compani continu continu convent davi davi davi dead decad decad deliv dictat edward elector end energi enough entir expos fact fail feder fight film final financ fire fire firm forc foreign former full gas goe gonna gonna gonna got govern guy hammer happen health histori ice ignor imag imag implement independ inform interest interest issu job john john john john keep kind last least left left like like like linktocommentspostcount lobbi lobbi lobbyist lobbyist lobbyist lobbyist long look make manag manag manag maverick mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mean mention modern money money money money month mount much name nation new new next note now number obama old one one one onlin open past peopl peopl peopl polici polici polici poll poll popular postcounttb presid press price problem problem problem rais reform reform region report report repres rick rule run run said said said senior senior sever shop sinc site special spent staff start still stori straight sunday take take talk talk term thing think tie told top type univers video washington washington washington washington washington way week week well will will will without work write"
"Conservative",29,"ha","advertis afford altern although argument ask ask base believ besid billion budget buy campaign can can can candid candid career certain check chuck come conserv debat defend differ earn effect elect end enough expect fact fact field final fred fred fundrais god good guy hammer happen hard hold ignor impact incompet isn knock last like like may mccain mitt much name natur need never never now now owe paper part part part pass peopl peopl perceiv person polici presid presid probabl promot react reason right right romney romney romney rudi run run separ sinc sometim stupid subject surpris taken team test theori think though time today total two voter way weak weak weak wealth whose will will without wonder write yeah"
